Product,Current Factory,Alt Factory,Region,Ship Mode,Current Lead Time,Alt Lead Time,LT Reduction (days),LT Reduction (%),Current Distance,Alt Distance,Risk Level
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Interior,Standard Class,1343.61,1342.41,1.2,0.09,1092.4,875.45,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Interior,Standard Class,1343.61,1340.92,2.69,0.2,1092.4,605.2,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Interior,Standard Class,1343.61,1339.95,3.66,0.27,1092.4,430.51,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Interior,Standard Class,1343.61,1340.62,2.99,0.22,1092.4,550.73,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Interior,First Class,1343.61,1342.41,1.2,0.09,1092.4,875.45,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Interior,First Class,1343.61,1340.92,2.69,0.2,1092.4,605.2,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Interior,First Class,1343.61,1339.95,3.66,0.27,1092.4,430.51,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Interior,First Class,1343.61,1340.62,2.99,0.22,1092.4,550.73,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Interior,Second Class,1343.61,1342.41,1.2,0.09,1092.4,875.45,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Interior,Second Class,1343.61,1340.92,2.69,0.2,1092.4,605.2,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Secret Factory,Interior,Second Class,1343.61,1339.95,3.66,0.27,1092.4,430.51,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Interior,Second Class,1343.61,1340.62,2.99,0.22,1092.4,550.73,Low Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Lot's O' Nuts,Interior,Same Day,1343.61,1342.41,1.2,0.09,1092.4,875.45,Medium Risk
Wonka Bar - Milk Chocolate,Wicked Choccy's,Sugar Shack,Interior,Same Day,1343.61,1340.92,2.69,0.2,1092.4,605.2,Low Risk
